Id,Label,timeset,degree
237760832,237760832,,
225023203,225023203,,
144779682,144779682,,
120695441,120695441,,
173760548,173760548,,
184710120,184710120,,
59818261,59818261,,
176018059,176018059,,
144027460,144027460,,
196166357,196166357,,
159945012,159945012,,
200208668,200208668,,
202349671,202349671,,
58199696,58199696,,
6490104,6490104,,
319865057,319865057,,
170628011,170628011,,
56906038,56906038,,
195488384,195488384,,
139223819,139223819,,
520864481,520864481,,
484388586,484388586,,
53093763,53093763,,
72958115,72958115,,
397653550,397653550,,
90432991,90432991,,
57843405,57843405,,
574579093,574579093,,
165470998,165470998,,
292259093,292259093,,
177016597,177016597,,
72511611,72511611,,
510526195,510526195,,
167537977,167537977,,
94716049,94716049,,
141670707,141670707,,
252875074,252875074,,
135193637,135193637,,
219127512,219127512,,
10873146,10873146,,
88567308,88567308,,
301336888,301336888,,
492304759,492304759,,
455388163,455388163,,
79619063,79619063,,
172208616,172208616,,
240804007,240804007,,
16132186,16132186,,
70075646,70075646,,
143468727,143468727,,
177494393,177494393,,
293400897,293400897,,
88096232,88096232,,
120179319,120179319,,
115951892,115951892,,
169891746,169891746,,
275697092,275697092,,
145379012,145379012,,
489373999,489373999,,
130229441,130229441,,
163730915,163730915,,
326193480,326193480,,
156790498,156790498,,
112463747,112463747,,
489091135,489091135,,
236922007,236922007,,
188988354,188988354,,
462671487,462671487,,
2455124,2455124,,
210386436,210386436,,
135834460,135834460,,
534882288,534882288,,
246481542,246481542,,
237339816,237339816,,
303095365,303095365,,
112752674,112752674,,
174085735,174085735,,
135161208,135161208,,
328558533,328558533,,
65875061,65875061,,
145979409,145979409,,
116582327,116582327,,
122770041,122770041,,
218711918,218711918,,
557164485,557164485,,
491562338,491562338,,
138669928,138669928,,
219738802,219738802,,
251586126,251586126,,
516746519,516746519,,
10447459,10447459,,
335195107,335195107,,
559363887,559363887,,
153204015,153204015,,
135892323,135892323,,
73260737,73260737,,
253897034,253897034,,
194331076,194331076,,
167028125,167028125,,
344955930,344955930,,
71883143,71883143,,
168203826,168203826,,
318186982,318186982,,
151978478,151978478,,
296333445,296333445,,
67452079,67452079,,
102318620,102318620,,
283089883,283089883,,
358001736,358001736,,
298711059,298711059,,
137948605,137948605,,
382528021,382528021,,
73815532,73815532,,
311807631,311807631,,
36102348,36102348,,
75635939,75635939,,
143058833,143058833,,
205335204,205335204,,
49887802,49887802,,
181629825,181629825,,
66953272,66953272,,
326169156,326169156,,
133913319,133913319,,
181619782,181619782,,
503138605,503138605,,
139133946,139133946,,
10663212,10663212,,
485624626,485624626,,
73272828,73272828,,
138226638,138226638,,
54588236,54588236,,
341065906,341065906,,
343179231,343179231,,
64849239,64849239,,
246134027,246134027,,
40362866,40362866,,
36756507,36756507,,
152362221,152362221,,
126692297,126692297,,
152288751,152288751,,
64073049,64073049,,
238435946,238435946,,
272217186,272217186,,
108180241,108180241,,
238984841,238984841,,
88620017,88620017,,
135373721,135373721,,
550387844,550387844,,
209041156,209041156,,
151886584,151886584,,
207614125,207614125,,
139118476,139118476,,
459013785,459013785,,
92782254,92782254,,
280525658,280525658,,
229471806,229471806,,
211194578,211194578,,
24547229,24547229,,
7212979,7212979,,
54251725,54251725,,
537728627,537728627,,
286118912,286118912,,
553990976,553990976,,
268352745,268352745,,
163420963,163420963,,
121715946,121715946,,
255085858,255085858,,
174582691,174582691,,
92060343,92060343,,
104467153,104467153,,
53607529,53607529,,
136208885,136208885,,
91115645,91115645,,
44784586,44784586,,
255355694,255355694,,
135446161,135446161,,
263857511,263857511,,
552532100,552532100,,
296561587,296561587,,
363654891,363654891,,
220200611,220200611,,
82605916,82605916,,
142632180,142632180,,
144031816,144031816,,
167894811,167894811,,
216421160,216421160,,
65109381,65109381,,
275146452,275146452,,
363112213,363112213,,
264670562,264670562,,
177974964,177974964,,
566157702,566157702,,
406955770,406955770,,
205445869,205445869,,
82210732,82210732,,
371326720,371326720,,
67863405,67863405,,
71474608,71474608,,
417693424,417693424,,
253298082,253298082,,
145993464,145993464,,
134863454,134863454,,
339992367,339992367,,
315719045,315719045,,
67404479,67404479,,
182793830,182793830,,
266927028,266927028,,
165479849,165479849,,
169422154,169422154,,
207080978,207080978,,
174093998,174093998,,
47862023,47862023,,
70492813,70492813,,
151725827,151725827,,
217092999,217092999,,
131355690,131355690,,
